name min-degree min-fill-in pace-winner

he121 532 356 248
he047 33 32 31
he131 66 65 48
he053 27 24 22
he005 3 3 3
he035 43 39 29
he093 137 108 90
he101 100 100 100
he075 85 83 78
he115 205 150 119
he097 125 92 64
he081 24 22 19
he027 53 47 36
he123 76 61 51
he077 22 22 20
he071 71 68 59
he003 11 10 9
he031 46 35 24
he085 121 94 78
he111 398 398 398
he119 490 387 423
he039 46 37 28
he013 72 56 35
he021 59 40 27
he063 60 54 54
he125 1061 975 879
he083 38 37 35
he025 51 44 27
he015 59 42 29
he017 83 68 42
he029 46 33 22
he073 75 77 72
he087 122 108 81
he057 32 34 29
he095 139 104 75
he133 233 233 233
he067 60 57 55
he079 120 119 119
he127 1088 965 884
he117 292 249 215
he033 44 42 29
he023 61 54 36
he089 113 98 70
he103 262 191 125
he107 128 130 99
he105 50 50 50
he051 49 49 37
he113 67 67 67
he061 30 29 23
he059 33 33 30
he109 215 163 128
he009 19 18 14
he043 60 46 45
he019 65 46 31
he065 27 25 20
he001 2 2 2
he011 92 78 46
he137 607 639 627
he055 36 36 34
he037 46 42 28
he007 13 11 10
he135 543 543 556
he129 628 479 440
he045 60 56 47
he049 41 35 29
he069 64 64 63
